[0, 1388.0711365524905]
[1, 1590.4947290851592]
[2, 468.61378090391526]
[3, 469.52053732611876]
[4, 468.77119782115858]
[5, 469.22856679074704]
[6, 939.52886769440647]
[7, 952.00415057082512]
[8, 1417.534053144977]
[9, 1438.3907303834255]
[10, 1440.3848753750931]
[11, 960.51847557005408]
[12, 964.14581446491638]
[13, 1441.9634893957914]
[14, 1359.8158302454237]
[15, 1441.0581941465834]
[16, 1440.6845972105129]
[17, 1360.0706584506315]
[18, 960.76384948827365]
[19, 1435.7716706453789]
[20, 1438.132713782788]
[21, 1441.608527290118]
[22, 1436.5419737666739]
[23, 1429.6610496464964]
[24, 1438.1092474624218]
[25, 1314.9815132155773]
[26, 1318.032463075062]
[27, 1477.69631338566]
[28, 1479.3904872754608]
[29, 1311.2751063636897]
[30, 1872.2809038013149]
[31, 523.19732248594948]
[32, 1317.0086696801807]
[33, 1316.7464844945009]
[34, 526.83667410061673]
[35, 1319.9448750374622]
[36, 1314.1110043294962]
[37, 1480.3143968407494]
[38, 1481.1294594832079]
[39, 1314.4045097918809]
[40, 536.18774999381071]
[41, 1478.3354245689304]
[42, 1477.1145393269217]
[43, 1317.4962194903128]
[44, 1432.8784540485703]
[45, 1430.8160040643786]
[46, 1447.4241480362709]
[47, 1440.6555452372884]
[48, 1436.8581119784524]
[49, 1433.932778172345]
[50, 1623.5374957632257]
[51, 615.95445806937482]
[52, 600.14956727455115]
[53, 615.67008494478591]
[54, 617.46232989063458]
[55, 615.85062361807547]
[56, 611.12438651291166]
[57, 578.83790495118171]
[58, 585.4180214278224]
[59, 585.12788373143553]
[60, 583.16671204585123]
[61, 586.60786679459807]
[62, 596.71950589551636]
[63, 582.00425204022849]
[64, 681.61911212733628]
[65, 588.25067580562154]
[66, 583.86081286067736]
[67, 687.20923117095197]
[68, 690.39880465483827]
[69, 687.16991427580206]
[70, 689.8994337952754]
[71, 688.57696190532704]
[72, 688.99104882161873]
[73, 1818.8597857859625]
[74, 1612.2075870024771]
[75, 585.17793602105928]
[76, 584.96888526641646]
[77, 582.5706847490053]
[78, 583.26032567906498]
[79, 584.46666069499793]
[80, 578.97106773986093]
[81, 585.34590203298876]
[82, 584.40068433350757]
[83, 584.664875001528]
[84, 584.62499474337142]
[85, 585.31341365448964]
[86, 586.85450187839547]
[87, 585.28519627063156]
[88, 587.23811158567435]
[89, 786.63163073593876]
[90, 786.77819603831222]
[91, 786.90164892200119]
[92, 785.47652083932883]
[93, 470.75229951178693]
[94, 468.2939327677413]
[95, 469.08129382416138]
[96, 786.6706956800416]
[97, 786.50228821160761]
[98, 786.38864754889551]
[99, 1391.5561322625745]
[100, 581.63034822765462]
[101, 585.15149459049121]
[102, 583.02989525383066]
[103, 585.54174239908673]
[104, 583.86527787205034]
[105, 1427.6353519081863]
[106, 737.91197311804854]
[107, 735.39477968916049]
[108, 582.77927100483305]
[109, 583.60121303212384]
[110, 584.72624773234611]
[111, 585.62256031188963]
[112, 583.13106725080706]
[113, 741.77481526917302]
[114, 787.19720509504396]
[115, 581.67647548473064]
[116, 584.13112664759944]
[117, 1452.4295240182958]
[118, 1438.4570763691477]
[119, 772.87220316685409]
[120, 1437.9220476410592]
[121, 1442.8390148563026]
[122, 1437.6589544405674]
[123, 1642.0613581153252]
[124, 1597.1812545035207]
[125, 1477.7077261123463]
[126, 742.43602821056993]
[127, 1476.715021132884]
[128, 651.90320595904382]
[129, 657.44579646118279]
[130, 1308.7484884099592]
[131, 521.62983038206301]
[132, 738.30445740386972]
[133, 679.5818471928236]
[134, 1407.4602450274006]
[135, 1394.2817858247463]
[136, 1396.1954748671092]
[137, 739.11564280243419]
[138, 663.13459995562891]
[139, 1408.94574204623]
[140, 1318.6113489931656]
[141, 1411.8433354967449]
[142, 1410.0278140300543]
[143, 1391.7675185126288]
[144, 1376.391106233739]
[145, 1385.1039847825919]
[146, 1397.5786196914305]
[147, 1434.7453076727541]
[148, 1398.1500218299243]
[149, 1397.733803947584]
[150, 1400.4959145962414]
[151, 586.48789062346373]
[152, 1425.8359523260979]
[153, 1393.1555483028635]
[154, 1448.3882809330119]
[155, 1394.4791243777233]
[156, 1390.4503342011308]
[157, 1417.7075280896929]
[158, 1428.2570238497265]
[159, 1388.0030154333554]
[160, 1611.0015419890997]
[161, 1867.5360592627519]
[162, 1808.410552725255]
[163, 1775.2626551431351]
[164, 1465.5165547143208]
[165, 1753.3728281870447]
[166, 1771.945506788348]
[167, 1484.6380869447437]
[168, 1459.1321592803326]
[169, 1463.2950928082337]
[170, 1467.8866160711684]
[171, 1468.6491192624446]
[172, 578.75046356118298]
[173, 1625.1776874380962]
[174, 1472.6363212320405]
[175, 585.73316857048746]
[176, 585.51640057880377]
[177, 584.06062565498416]
[178, 1616.3575926788624]
[179, 1638.4107147159377]
[180, 1627.1947952680885]
[181, 1630.208229227185]
[182, 1633.968875444363]
[183, 1620.3895521692984]
[184, 1893.7937616034062]
[185, 1940.6572716096662]
[186, 1966.4107421777742]
[187, 1952.2003306349627]
[188, 1765.184013880066]
[189, 1764.1603983670375]
[190, 1744.7505133280124]
[191, 1818.5152412613568]
