[0, 1542.9519653804236]
[1, 1760.7813506537045]
[2, 1758.0642731317625]
[3, 1549.5738113298039]
[4, 1425.2804829998763]
[5, 2191.4002159602132]
[6, 184.74114335954559]
[7, 584.6201587295526]
[8, 205.68625124673824]
[9, 185.46024829461052]
[10, 1543.6218482166271]
[11, 1103.9519690450327]
[12, 1556.7160495396138]
[13, 1089.9430929155471]
[14, 1335.4481967832846]
[15, 1094.228113708645]
[16, 1102.2360106452436]
[17, 1102.6399902525852]
[18, 1746.5925917682878]
[19, 1758.6590678822799]
[20, 1332.9354485941476]
[21, 3358.920834216498]
[22, 2178.6291541617725]
[23, 273.506783361212]
[24, 298.09928981261538]
[25, 1319.8602274911977]
[26, 1444.5536417577759]
[27, 1323.7386546089083]
[28, 1329.823051814102]
[29, 1543.3956510146206]
[30, 1315.3287382627063]
[31, 1329.3744041322807]
[32, 1328.1362324589124]
[33, 1338.6291256198654]
[34, 2070.5176717837103]
[35, 520.03030092393897]
[36, 256.37185285980172]
[37, 1334.2021336625171]
[38, 314.24042355503866]
[39, 472.1933742876837]
[40, 856.56810687592269]
[41, 1091.912038822177]
[42, 1095.5063369744616]
[43, 5105.8762516275392]
[44, 1102.657160089095]
[45, 1084.4065489082557]
[46, 869.0802152016189]
[47, 1100.5121163552317]
[48, 793.68358656112446]
[49, 1083.0273946409684]
[50, 662.8423993753097]
[51, 651.08451818516858]
[52, 126.11498628492751]
[53, 946.93028202346625]
[54, 622.7202329213618]
[55, 377.93900676501204]
[56, 231.97819575763594]
[57, 588.40208194505556]
[58, 290.20184638490275]
[59, 284.32542140190083]
[60, 1426.7636745780851]
[61, 613.96698892260224]
[62, 1469.503649782723]
[63, 651.20928369628393]
[64, 829.90059226940627]
[65, 779.41288798599396]
[66, 780.59238052841624]
[67, 390.59716170843177]
[68, 782.93646294658595]
[69, 390.75892232794342]
[70, 392.84471519918492]
[71, 524.34843041531803]
[72, 522.51607434104176]
[73, 523.5189516972207]
[74, 578.87526946653327]
[75, 584.97301990077995]
[76, 522.82208174159132]
[77, 521.65115867971417]
[78, 601.17315930366908]
[79, 1416.5578531851427]
[80, 521.89448420083795]
[81, 518.74170705917879]
[82, 600.06658765448469]
