[0, 1838.4358527613065]
[1, 1477.1315289711094]
[2, 1471.736850850619]
[3, 1486.2115686176464]
[4, 1464.7343919220236]
[5, 1464.2697052551293]
[6, 1430.1066045517516]
[7, 1747.4749393300647]
[8, 623.40997279433338]
[9, 1849.5444576117843]
[10, 775.61594430552771]
[11, 642.91278955918983]
[12, 1483.905974089849]
[13, 1473.2629520808393]
[14, 1353.1730092744015]
[15, 1484.4856929402304]
[16, 1478.5750500860122]
[17, 1479.8030328718294]
[18, 1493.4715166080493]
[19, 957.9135787480418]
[20, 582.30009019009162]
[21, 391.12532251547464]
[22, 197.40449008380071]
[23, 200.57884602325791]
[24, 190.22638775388063]
[25, 199.4120929028945]
[26, 308.18752172147816]
[27, 292.02206330725431]
[28, 292.56603428544975]
[29, 1549.0425659549423]
[30, 1489.2914397144041]
[31, 1482.6235402196733]
[32, 1494.9633667881153]
[33, 1479.5568333302399]
[34, 1483.006067323023]
[35, 1483.0804306179728]
[36, 1484.8612386810407]
[37, 1483.2241879962057]
[38, 1493.0273773833935]
[39, 1484.2040788507747]
[40, 1475.378304590002]
[41, 262.82229325510406]
[42, 261.63143736111158]
[43, 263.04824544214614]
[44, 1477.6160461349273]
[45, 1484.0832135262508]
[46, 601.16917939258951]
[47, 188.86190549875201]
[48, 1481.9621529166045]
[49, 1668.0969884612748]
[50, 1319.1445397756945]
[51, 1648.8467894340749]
[52, 1646.9230178614132]
[53, 1636.5271626115532]
[54, 1326.8530996061884]
[55, 1318.2964957952247]
[56, 662.68608686426774]
[57, 1320.9407545494942]
[58, 1318.3336048028068]
[59, 1411.3731897805924]
[60, 1979.9676800598634]
[61, 624.75880608424598]
[62, 1616.5228199164455]
[63, 1320.1223862134918]
[64, 1404.5372412457471]
[65, 1764.1107637527809]
[66, 1429.314303412657]
[67, 1502.1974506652364]
[68, 909.71952496153369]
[69, 1515.2831940977812]
[70, 1377.0062274117802]
[71, 5346.3259945909103]
[72, 1923.4082814920055]
[73, 2010.4958711285626]
[74, 1977.2407243810649]
[75, 2499.34892657922]
[76, 5367.0211772802131]
[77, 1737.486083381883]
[78, 5275.5627211183073]
[79, 2966.7623979479167]
[80, 1948.935797850351]
[81, 1419.1661616968347]
[82, 594.35300687118786]
[83, 1563.9138187233675]
[84, 1574.8811927818697]
[85, 1568.2696913673506]
[86, 1509.4900629284496]
[87, 801.28618688114807]
[88, 1180.4201712494514]
[89, 1184.0062341577736]
[90, 1461.2776187809388]
[91, 794.52052647446033]
[92, 1466.6371306860067]
[93, 1487.1089926263885]
[94, 1476.4036298052342]
[95, 1738.0277913645873]
[96, 2480.9033316140503]
[97, 2325.9026632322903]
[98, 2510.4169632787716]
[99, 286.71714774943183]
[100, 491.57171251061567]
[101, 2598.8503643278696]
[102, 318.72808239262724]
[103, 1472.4511985607078]
[104, 1480.3530623033096]
[105, 1482.6851715587459]
[106, 1697.6261290604684]
[107, 1366.4803199191306]
[108, 1249.7325735298202]
[109, 1033.0024675156153]
[110, 1166.3732602202012]
[111, 1436.401268036173]
[112, 1581.2968974160622]
[113, 1459.7618110936417]
[114, 1537.0695003212886]
[115, 1744.3277796473988]
[116, 1737.5054458512725]
[117, 1619.6867747239307]
[118, 1505.8186899026271]
[119, 1726.7636210694993]
[120, 1714.7773003022364]
[121, 1738.9650048329345]
[122, 2455.9278808251065]
[123, 2480.3165279406235]
[124, 2596.0928850120945]
[125, 2781.7065704846332]
[126, 608.63220884381633]
[127, 5458.8291729378134]
[128, 2509.9642632683858]
[129, 492.70510874910428]
[130, 5452.4473584700327]
[131, 1432.6944642723097]
[132, 7688.0489552501922]
[133, 5442.5118351896572]
[134, 1711.4018984245206]
[135, 1531.8581686819307]
[136, 1476.8689781663863]
[137, 1482.7865051729491]
[138, 1483.6324453519157]
[139, 1464.5901183611388]
[140, 1479.2267394661453]
[141, 1468.1308123930639]
[142, 2393.8105374026468]
[143, 2503.7377657594711]
[144, 2316.938314795736]
[145, 1736.9100364331498]
[146, 1738.217867649576]
[147, 1483.0534372162424]
[148, 1459.4770407323174]
[149, 1469.8613628097939]
[150, 1479.6544894989147]
[151, 1477.5169691404112]
[152, 1463.5903682960195]
[153, 1458.7741836843854]
[154, 1474.0597279379774]
[155, 1497.5597806367805]
[156, 1650.0790722158283]
[157, 1319.7890603187352]
[158, 1648.6523271792773]
[159, 1643.781270961744]
[160, 2362.106149828935]
[161, 1708.8920279696663]
[162, 623.87800068720105]
[163, 999.3669238068635]
[164, 993.13708782255924]
[165, 1296.8093097873293]
[166, 1396.896110622132]
[167, 490.3395409649799]
[168, 487.43376694864401]
[169, 8296.0163268819142]
[170, 8359.3209590834686]
[171, 8501.2309182232966]
[172, 1464.6438768187236]
[173, 474.44963391560719]
[174, 1999.3606757659729]
[175, 742.74365469611712]
[176, 2491.4948020274992]
[177, 2486.9359515519632]
[178, 481.96482989548156]
[179, 2495.311618049268]
[180, 1491.4553483900349]
[181, 2058.4885052721852]
[182, 2019.9158029014766]
[183, 1993.3799031723113]
[184, 1976.5092094960003]
[185, 800.95413273608779]
