[0, 658.09137532767102]
[1, 657.08184233770987]
[2, 658.22128343387305]
[3, 657.15160735718928]
[4, 658.22712540594569]
[5, 657.0456335883523]
[6, 656.73309268331877]
[7, 1636.6959549954213]
[8, 550.75257860581769]
[9, 552.43720843499113]
[10, 553.20385626109373]
[11, 552.7532093767187]
[12, 552.27206617687114]
[13, 552.70772784538292]
[14, 549.62743787078409]
[15, 550.09516980352782]
[16, 547.20949842354105]
[17, 547.97443883576818]
[18, 546.93903516759519]
[19, 547.99444931093285]
[20, 547.64307554443292]
[21, 548.5526379307795]
[22, 547.46793591355413]
[23, 545.40834253893786]
[24, 2414.4373426906241]
[25, 651.73674169357855]
[26, 652.28838583305424]
[27, 650.20764937446927]
[28, 651.1884670474941]
[29, 651.32479917728006]
[30, 651.21906179113716]
[31, 650.71543431462203]
[32, 652.1491106423789]
[33, 649.25559742539178]
[34, 1513.6587006254301]
[35, 551.56683549123079]
[36, 552.42853691425387]
[37, 553.25758992927661]
[38, 552.55186571758998]
[39, 552.49376609180342]
[40, 552.50418877957998]
[41, 614.82022849229975]
[42, 615.95486216351856]
[43, 613.96677504129195]
[44, 614.06661396236836]
[45, 613.63566414263448]
[46, 614.61218540508867]
[47, 614.62570585541425]
[48, 613.08366955374049]
[49, 615.76368482117698]
[50, 616.53100222641831]
[51, 1437.3705041706976]
[52, 550.00813249486862]
[53, 366.75263062679744]
[54, 546.46883907093388]
[55, 365.32300567835119]
[56, 547.52017412923203]
[57, 548.0821643972788]
[58, 546.77684156601254]
[59, 548.40860057904126]
[60, 545.6706479530593]
[61, 1357.3721646442241]
[62, 489.76054820953169]
[63, 492.40068250874538]
[64, 493.06244077150325]
[65, 492.43625143797306]
[66, 492.68547708104848]
[67, 493.06822172620736]
[68, 551.90813677132087]
[69, 550.87601274087444]
[70, 546.55762773588094]
[71, 548.80433518635573]
[72, 546.7299771159395]
[73, 547.71666140235868]
[74, 547.66215706815569]
[75, 549.38065719335327]
[76, 4470.2302691774494]
[77, 2242.1163034564293]
[78, 1464.0942943100929]
[79, 654.14396214537317]
[80, 657.20305987660572]
[81, 657.72409797400394]
[82, 657.61577418788499]
[83, 658.20186534796687]
[84, 657.16626205106763]
[85, 658.97647723660873]
[86, 657.12083643289736]
[87, 657.5706080649818]
[88, 552.79997709005613]
[89, 551.20348538014218]
[90, 553.78157262302375]
[91, 551.86430112675157]
[92, 552.67128126097009]
[93, 552.5323727392514]
[94, 1447.3165762112992]
[95, 549.96883483338684]
[96, 549.14176530062684]
[97, 546.39837828985515]
[98, 547.41225265291814]
[99, 547.82921647292278]
[100, 547.54225751242518]
[101, 547.03228327335648]
[102, 2502.9209871502403]
[103, 2521.663278575083]
[104, 1702.5691889164655]
[105, 1631.4661865672447]
[106, 656.44329092028602]
[107, 656.65867160299217]
[108, 656.98142347302348]
[109, 657.54207260168516]
[110, 657.70216344182916]
[111, 657.3550302049324]
[112, 657.89987355935409]
[113, 656.7313407881162]
[114, 658.54323821359594]
[115, 1651.5448190797049]
[116, 553.80067548001205]
[117, 553.79917922474408]
[118, 552.29756061900832]
[119, 553.71932046699033]
[120, 551.89150151739898]
[121, 1657.5365808932781]
[122, 549.2823983257133]
[123, 548.14542718051359]
[124, 547.1002226698871]
[125, 547.04250444220463]
[126, 547.62790146520945]
[127, 547.58058941976265]
[128, 547.09424267242662]
[129, 549.27744555260585]
[130, 1907.2033450319709]
[131, 1700.6645380549032]
[132, 658.0363704727813]
[133, 652.79189906334932]
[134, 651.06878948872554]
[135, 647.78897150036642]
[136, 650.67945022717129]
[137, 650.65461940055752]
[138, 650.60591460447688]
[139, 652.0493446199381]
[140, 651.32079512528253]
[141, 1715.2014658058729]
[142, 548.5039346661315]
[143, 553.24810461356947]
[144, 553.39174473156129]
[145, 551.96851473516608]
[146, 553.45289429924537]
[147, 552.24617855390272]
[148, 1458.2118563715794]
[149, 614.67979800616536]
[150, 615.24346860335709]
[151, 615.08624625947903]
[152, 614.6696464867731]
[153, 614.40730356565689]
[154, 613.9975297880103]
[155, 614.74106102870621]
[156, 613.52340155263971]
[157, 612.92041639281967]
[158, 1691.8109113558126]
[159, 566.40165027829175]
[160, 366.2287546821043]
[161, 366.65152445687403]
[162, 1381.3092517652881]
[163, 365.33195217924697]
[164, 365.70638786069679]
[165, 548.56953028423607]
[166, 548.00732634688825]
[167, 1774.6792772596834]
[168, 1728.7602683464379]
[169, 605.08077256418471]
[170, 367.2273484528427]
[171, 368.33573173899464]
[172, 1432.6796067868188]
[173, 369.85623742737539]
[174, 1352.5138426409694]
[175, 1483.5061236151093]
[176, 1317.0106658994832]
[177, 609.16926435588869]
[178, 646.82455868149862]
[179, 1325.7881284978398]
[180, 1331.2090667588254]
[181, 652.7321243971021]
[182, 1451.0502469097014]
[183, 1668.4729946115156]
[184, 5083.2422283199548]
[185, 1666.2448611842751]
[186, 651.61218024100663]
[187, 657.48964656507894]
[188, 657.51507696613282]
[189, 658.80669036590666]
[190, 656.70690513788554]
[191, 657.183577717768]
[192, 1435.5556970175496]
[193, 1674.5909808934953]
[194, 650.90095161443946]
[195, 1547.7315269533217]
[196, 549.70752759422521]
[197, 552.61873166281634]
[198, 552.55017630640111]
[199, 553.04557270529585]
[200, 1695.7021648374118]
[201, 1962.5316034684563]
[202, 1646.7576493280033]
[203, 551.32342872135882]
[204, 546.7206518187337]
[205, 546.17422808040124]
[206, 1668.405122428645]
[207, 547.97319076149813]
[208, 548.59040293040744]
[209, 1090.5121886243796]
[210, 1343.5675065732255]
[211, 1315.7828325412136]
[212, 1824.2916064595165]
[213, 652.31550817282175]
[214, 657.45004909337172]
[215, 657.30111980007257]
[216, 660.76862123305705]
[217, 1330.2472500728827]
[218, 657.36083776432918]
[219, 1337.9496115020766]
[220, 5065.5795282676581]
[221, 5258.428729299746]
[222, 1647.0922156517354]
[223, 1383.8760291008432]
[224, 551.2310690569924]
[225, 552.61510744503153]
[226, 1515.5263661639556]
[227, 551.82600047617564]
[228, 553.05375907152018]
[229, 1645.8973717649517]
[230, 661.59930594905643]
[231, 654.62200567152752]
[232, 656.18799723816744]
[233, 654.44337355831544]
[234, 1317.4738297460262]
[235, 1335.9408525912097]
[236, 1321.3729083723429]
[237, 1690.3954067004672]
[238, 1839.5942738934132]
[239, 1823.734536305009]
[240, 652.49904984956481]
[241, 652.866204788603]
[242, 649.53300894031963]
[243, 1510.6297039940459]
[244, 1746.6731262506523]
[245, 590.29549970956839]
[246, 1363.3887699969582]
[247, 1366.9292782795869]
[248, 1385.9140704993674]
[249, 611.99478087122816]
[250, 616.00444748290874]
[251, 545.7346908859414]
[252, 547.92329278097918]
[253, 1358.2241819882463]
[254, 612.96300522784577]
[255, 614.80052855367933]
[256, 619.23313417040526]
[257, 650.36287921677661]
[258, 660.89912521622512]
[259, 656.63850638530482]
[260, 653.32193691201223]
[261, 657.88698756790018]
[262, 658.15473306823765]
